mode,LossNum,run,iteration,cost,inner iteration
on-policy,calc_loss_1,0,0,246.01060762715417,
on-policy,calc_loss_1,0,1,314.9783710726511,0.0
on-policy,calc_loss_1,0,2,456.0933826494784,0.0
on-policy,calc_loss_1,0,3,428.99250343024573,0.0
on-policy,calc_loss_1,0,4,419.18645686122875,0.0
on-policy,calc_loss_1,0,5,447.1886699769467,0.0
on-policy,calc_loss_1,0,6,457.5478556904711,0.0
on-policy,calc_loss_1,0,7,425.49687936339194,0.0
on-policy,calc_loss_1,0,8,207.47391978097016,0.0
on-policy,calc_loss_1,0,9,467.3280253181591,0.0
on-policy,calc_loss_1,0,10,139.0771757269814,0.0
on-policy,calc_loss_1,0,11,199.83734988090524,0.0
on-policy,calc_loss_1,0,12,203.77628013454532,0.0
on-policy,calc_loss_1,0,13,222.89654202695965,0.0
on-policy,calc_loss_1,0,14,205.2918144686357,0.0
on-policy,calc_loss_1,0,15,263.06433133788704,0.0
on-policy,calc_loss_1,0,16,211.14612460729393,0.0
on-policy,calc_loss_1,0,17,211.9544780607223,0.0
on-policy,calc_loss_1,0,18,198.49986104086162,0.0
on-policy,calc_loss_1,0,19,202.66228539695865,0.0
on-policy,calc_loss_1,0,20,337.5932006403059,0.0
on-policy,calc_loss_1,0,21,231.02905508427813,0.0
on-policy,calc_loss_1,0,22,208.18195707937994,0.0
on-policy,calc_loss_1,0,23,199.24063748163616,0.0
on-policy,calc_loss_1,0,24,220.50094896120504,0.0
on-policy,calc_loss_1,0,25,173.83534558197923,0.0
on-policy,calc_loss_1,0,26,192.76208914010115,0.0
on-policy,calc_loss_1,0,27,175.45142418716082,0.0
on-policy,calc_loss_1,0,28,466.98270610690247,0.0
on-policy,calc_loss_1,0,29,173.67408501376164,0.0
on-policy,calc_loss_1,0,30,242.97434354065595,0.0
on-policy,calc_loss_1,0,31,183.41413866248723,0.0
on-policy,calc_loss_1,0,32,104.31026685600841,0.0
on-policy,calc_loss_1,0,33,193.23207595502842,0.0
on-policy,calc_loss_1,0,34,213.06735140303834,0.0
on-policy,calc_loss_1,0,35,466.5846360807697,0.0
on-policy,calc_loss_1,0,36,188.28223491635413,0.0
on-policy,calc_loss_1,0,37,190.52632958418698,0.0
on-policy,calc_loss_1,0,38,196.77132938221882,0.0
on-policy,calc_loss_1,0,39,461.1505551885451,0.0
on-policy,calc_loss_1,0,40,195.66205345217014,0.0
on-policy,calc_loss_1,0,41,461.2773869656796,0.0
on-policy,calc_loss_1,0,42,467.1505194111289,0.0
on-policy,calc_loss_1,0,43,467.1118422525552,0.0
on-policy,calc_loss_1,0,44,166.5084452783669,0.0
on-policy,calc_loss_1,0,45,197.11238701435892,0.0
on-policy,calc_loss_1,0,46,216.76440148687698,0.0
on-policy,calc_loss_1,0,47,199.84406320500844,0.0
on-policy,calc_loss_1,0,48,187.64621037615288,0.0
on-policy,calc_loss_1,0,49,209.18628945998805,0.0
on-policy,calc_loss_1,0,50,202.11137219810044,0.0
on-policy,calc_loss_1,0,51,181.44595789972416,0.0
on-policy,calc_loss_1,0,52,185.88797373022527,0.0
on-policy,calc_loss_1,0,53,242.6440799923766,0.0
on-policy,calc_loss_1,0,54,198.089573241974,0.0
on-policy,calc_loss_1,0,55,199.09770153728456,0.0
on-policy,calc_loss_1,0,56,209.90773889284765,0.0
on-policy,calc_loss_1,0,57,185.52001859838165,0.0
on-policy,calc_loss_1,0,58,204.981067277625,0.0
on-policy,calc_loss_1,0,59,466.58330493372307,0.0
on-policy,calc_loss_1,0,60,177.56290159808043,0.0
on-policy,calc_loss_1,0,61,193.74184833132958,0.0
on-policy,calc_loss_1,0,62,152.07433801373284,0.0
on-policy,calc_loss_1,0,63,427.29682325002585,0.0
on-policy,calc_loss_1,0,64,209.3445139104667,0.0
on-policy,calc_loss_1,0,65,193.75971607385063,0.0
on-policy,calc_loss_1,0,66,466.88474533840565,0.0
on-policy,calc_loss_1,0,67,464.09803520202286,0.0
on-policy,calc_loss_1,0,68,461.02246239171836,0.0
on-policy,calc_loss_1,0,69,178.63710302687826,0.0
on-policy,calc_loss_1,0,70,164.21791410525267,0.0
on-policy,calc_loss_1,0,71,462.8666557607259,0.0
on-policy,calc_loss_1,0,72,166.46037239116436,0.0
on-policy,calc_loss_1,0,73,466.7505080171247,0.0
on-policy,calc_loss_1,0,74,218.5713374031389,0.0
on-policy,calc_loss_1,0,75,374.7365158385063,0.0
on-policy,calc_loss_1,0,76,210.42332632998298,0.0
on-policy,calc_loss_1,0,77,195.34426788277372,0.0
on-policy,calc_loss_1,0,78,174.16319333118918,0.0
on-policy,calc_loss_1,0,79,175.39749905467391,0.0
on-policy,calc_loss_1,0,80,195.92641453037166,0.0
on-policy,calc_loss_1,0,81,146.6114204616279,0.0
on-policy,calc_loss_1,0,82,191.73067282620477,0.0
on-policy,calc_loss_1,0,83,465.40180661200833,0.0
on-policy,calc_loss_1,0,84,199.5783360602053,0.0
on-policy,calc_loss_1,0,85,181.22128898036274,0.0
on-policy,calc_loss_1,0,86,199.91286316808066,0.0
on-policy,calc_loss_1,0,87,176.30466734297946,0.0
on-policy,calc_loss_1,0,88,207.556393130942,0.0
on-policy,calc_loss_1,0,89,222.86528049543915,0.0
on-policy,calc_loss_1,0,90,181.933623756697,0.0
on-policy,calc_loss_1,0,91,172.55045292239203,0.0
on-policy,calc_loss_1,0,92,170.41553183580007,0.0
on-policy,calc_loss_1,0,93,175.80568770787664,0.0
on-policy,calc_loss_1,0,94,203.3029508061162,0.0
on-policy,calc_loss_1,0,95,195.90886286408684,0.0
on-policy,calc_loss_1,0,96,220.03652498020995,0.0
on-policy,calc_loss_1,0,97,165.79381084488733,0.0
on-policy,calc_loss_1,0,98,161.46906719983562,0.0
on-policy,calc_loss_1,0,99,229.76910043106196,0.0
on-policy,calc_loss_1,0,100,181.02344257494315,0.0
on-policy,calc_loss_1,0,101,170.32157055851803,0.0
on-policy,calc_loss_1,0,102,170.53382533964825,0.0
on-policy,calc_loss_1,0,103,196.46472337294355,0.0
on-policy,calc_loss_1,0,104,231.0115653790933,0.0
on-policy,calc_loss_1,0,105,194.3440694446883,0.0
on-policy,calc_loss_1,0,106,192.2988776890304,0.0
on-policy,calc_loss_1,0,107,149.89579390460247,0.0
on-policy,calc_loss_1,0,108,193.02654045487853,0.0
on-policy,calc_loss_1,0,109,245.83696038944646,0.0
on-policy,calc_loss_1,0,110,201.2378304724945,0.0
on-policy,calc_loss_1,0,111,466.75076260689576,0.0
on-policy,calc_loss_1,0,112,327.8330686791845,0.0
on-policy,calc_loss_1,0,113,466.301005861772,0.0
on-policy,calc_loss_1,0,114,199.19512830983498,0.0
on-policy,calc_loss_1,0,115,174.4548953553818,0.0
on-policy,calc_loss_1,0,116,414.77206464735383,0.0
on-policy,calc_loss_1,0,117,208.82036265468858,0.0
on-policy,calc_loss_1,0,118,189.4623241411966,0.0
on-policy,calc_loss_1,0,119,239.78898215527386,0.0
on-policy,calc_loss_1,0,120,206.717483251567,0.0
on-policy,calc_loss_1,0,121,201.31828913837003,0.0
on-policy,calc_loss_1,0,122,466.26723672765684,0.0
on-policy,calc_loss_1,0,123,210.73004200984258,0.0
on-policy,calc_loss_1,0,124,188.77003706108786,0.0
on-policy,calc_loss_1,0,125,197.34581855167232,0.0
on-policy,calc_loss_1,0,126,233.02550956403704,0.0
on-policy,calc_loss_1,0,127,169.6331525716498,0.0
on-policy,calc_loss_1,0,128,180.19009576624478,0.0
on-policy,calc_loss_1,0,129,194.82783671186002,0.0
on-policy,calc_loss_1,0,130,212.2848042877556,0.0
on-policy,calc_loss_1,0,131,201.164168863739,0.0
on-policy,calc_loss_1,0,132,218.047913702309,0.0
on-policy,calc_loss_1,0,133,181.9981069281869,0.0
on-policy,calc_loss_1,0,134,466.61561872126566,0.0
on-policy,calc_loss_1,0,135,178.18114966280606,0.0
on-policy,calc_loss_1,0,136,205.60982152764774,0.0
on-policy,calc_loss_1,0,137,466.2880274849826,0.0
on-policy,calc_loss_1,0,138,178.71625641143427,0.0
on-policy,calc_loss_1,0,139,170.10159362650404,0.0
on-policy,calc_loss_1,0,140,159.71877966605973,0.0
on-policy,calc_loss_1,0,141,314.18101493380675,0.0
on-policy,calc_loss_1,0,142,178.82613279164727,0.0
on-policy,calc_loss_1,0,143,205.3759245368353,0.0
on-policy,calc_loss_1,0,144,299.54817947690975,0.0
on-policy,calc_loss_1,0,145,467.1349214630086,0.0
on-policy,calc_loss_1,0,146,287.0555358844227,0.0
on-policy,calc_loss_1,0,147,182.31432128378856,0.0
on-policy,calc_loss_1,0,148,181.04606452859423,0.0
on-policy,calc_loss_1,0,149,294.4175240511301,0.0
