mode,LossNum,run,iteration,cost,inner iteration
off-policy,calc_loss_1_off,0,0,246.01112540276412,
off-policy,calc_loss_1_off,0,1,198.2965264294281,0.0
off-policy,calc_loss_1_off,0,2,202.57169132955394,0.0
off-policy,calc_loss_1_off,0,3,101.00835505166943,0.0
off-policy,calc_loss_1_off,0,4,210.08240859136595,0.0
off-policy,calc_loss_1_off,0,5,204.89877653687583,0.0
off-policy,calc_loss_1_off,0,6,465.7166559295754,0.0
off-policy,calc_loss_1_off,0,7,187.7415854501723,0.0
off-policy,calc_loss_1_off,0,8,448.56343886988793,0.0
off-policy,calc_loss_1_off,0,9,183.13677124373564,0.0
off-policy,calc_loss_1_off,0,10,200.47313166715958,0.0
off-policy,calc_loss_1_off,0,11,466.84844930341586,0.0
off-policy,calc_loss_1_off,0,12,203.3487861587816,0.0
off-policy,calc_loss_1_off,0,13,207.8856552441445,0.0
off-policy,calc_loss_1_off,0,14,205.92065370833126,0.0
off-policy,calc_loss_1_off,0,15,200.876061757774,0.0
off-policy,calc_loss_1_off,0,16,217.24986826802785,0.0
off-policy,calc_loss_1_off,0,17,467.08862766714805,0.0
off-policy,calc_loss_1_off,0,18,165.72742429873426,0.0
off-policy,calc_loss_1_off,0,19,201.18474494039737,0.0
off-policy,calc_loss_1_off,0,20,201.9593769089142,0.0
off-policy,calc_loss_1_off,0,21,166.15256720533748,0.0
off-policy,calc_loss_1_off,0,22,418.82614346084796,0.0
off-policy,calc_loss_1_off,0,23,187.3203733254292,0.0
off-policy,calc_loss_1_off,0,24,466.8070443532183,0.0
off-policy,calc_loss_1_off,0,25,227.33418861614754,0.0
off-policy,calc_loss_1_off,0,26,130.69881155146626,0.0
off-policy,calc_loss_1_off,0,27,194.5618700852496,0.0
off-policy,calc_loss_1_off,0,28,463.8261915729384,0.0
off-policy,calc_loss_1_off,0,29,200.85657245139478,0.0
off-policy,calc_loss_1_off,0,30,207.29856045909622,0.0
off-policy,calc_loss_1_off,0,31,290.39303735269397,0.0
off-policy,calc_loss_1_off,0,32,467.3562880270755,0.0
off-policy,calc_loss_1_off,0,33,185.36790993117654,0.0
off-policy,calc_loss_1_off,0,34,206.9963563291767,0.0
off-policy,calc_loss_1_off,0,35,200.70047023392442,0.0
off-policy,calc_loss_1_off,0,36,184.78192788610403,0.0
off-policy,calc_loss_1_off,0,37,184.0973217048539,0.0
off-policy,calc_loss_1_off,0,38,454.6208570876387,0.0
off-policy,calc_loss_1_off,0,39,201.52012473539392,0.0
off-policy,calc_loss_1_off,0,40,192.41717396623798,0.0
off-policy,calc_loss_1_off,0,41,206.37865271634018,0.0
off-policy,calc_loss_1_off,0,42,454.2176028326339,0.0
off-policy,calc_loss_1_off,0,43,204.0238504663322,0.0
off-policy,calc_loss_1_off,0,44,359.33543368515296,0.0
off-policy,calc_loss_1_off,0,45,304.84053657017364,0.0
off-policy,calc_loss_1_off,0,46,180.93900341694348,0.0
off-policy,calc_loss_1_off,0,47,188.72263847994054,0.0
off-policy,calc_loss_1_off,0,48,84.48708799169825,0.0
off-policy,calc_loss_1_off,0,49,216.52808621728545,0.0
off-policy,calc_loss_1_off,0,50,208.06907049056812,0.0
off-policy,calc_loss_1_off,0,51,467.0448304709349,0.0
off-policy,calc_loss_1_off,0,52,201.02197873176019,0.0
off-policy,calc_loss_1_off,0,53,209.2405712838975,0.0
off-policy,calc_loss_1_off,0,54,192.4882912615055,0.0
off-policy,calc_loss_1_off,0,55,195.72671216599636,0.0
off-policy,calc_loss_1_off,0,56,108.66333107323935,0.0
off-policy,calc_loss_1_off,0,57,188.88851842315083,0.0
off-policy,calc_loss_1_off,0,58,76.32514340166759,0.0
off-policy,calc_loss_1_off,0,59,457.46674822835473,0.0
off-policy,calc_loss_1_off,0,60,462.23433735958685,0.0
off-policy,calc_loss_1_off,0,61,399.20371117223203,0.0
off-policy,calc_loss_1_off,0,62,203.91663515800084,0.0
off-policy,calc_loss_1_off,0,63,465.93731760501777,0.0
off-policy,calc_loss_1_off,0,64,198.32512334672765,0.0
off-policy,calc_loss_1_off,0,65,437.3021724292061,0.0
off-policy,calc_loss_1_off,0,66,443.8456787813346,0.0
off-policy,calc_loss_1_off,0,67,461.90000866665474,0.0
off-policy,calc_loss_1_off,0,68,192.24144731021153,0.0
off-policy,calc_loss_1_off,0,69,88.35907020751137,0.0
off-policy,calc_loss_1_off,0,70,182.8982941463399,0.0
off-policy,calc_loss_1_off,0,71,366.95213445843564,0.0
off-policy,calc_loss_1_off,0,72,467.1671666863399,0.0
off-policy,calc_loss_1_off,0,73,277.93675182001664,0.0
off-policy,calc_loss_1_off,0,74,437.28594609764065,0.0
off-policy,calc_loss_1_off,0,75,201.8583252635825,0.0
off-policy,calc_loss_1_off,0,76,197.39189141742872,0.0
off-policy,calc_loss_1_off,0,77,202.43580390064344,0.0
off-policy,calc_loss_1_off,0,78,365.2132973627363,0.0
off-policy,calc_loss_1_off,0,79,204.45859385179685,0.0
off-policy,calc_loss_1_off,0,80,205.42747058353427,0.0
off-policy,calc_loss_1_off,0,81,195.80179261528363,0.0
off-policy,calc_loss_1_off,0,82,382.9635469006246,0.0
off-policy,calc_loss_1_off,0,83,167.68682449590295,0.0
off-policy,calc_loss_1_off,0,84,216.94133729411607,0.0
off-policy,calc_loss_1_off,0,85,202.6893642392537,0.0
off-policy,calc_loss_1_off,0,86,202.3755245928726,0.0
off-policy,calc_loss_1_off,0,87,122.01795782982033,0.0
